"bx","by","V","BV","VR","BR","galaxy_name","host_galaxy_group_type","host_galaxy_mass","galcen_radius","90percent"
2670.53,3701.7,24.067,0.935,0.52,1.455,"NGC7457","S0",10.6,2.23522,0
1965.68,3718.35,24.122,0.978,0.735,1.713,"NGC7457","S0",10.6,1.48718,0
1276.36,3772.12,24.036,0.618,0.486,1.104,"NGC7457","S0",10.6,2.2466,0
2614.19,3777.05,22.985,1.005,0.576,1.581,"NGC7457","S0",10.6,2.25978,1
2381.89,3801.44,23.192,0.647,0.4,1.047,"NGC7457","S0",10.6,1.96997,0
168.18,3879.29,23.451,0.835,0.588,1.423,"NGC7457","S0",10.6,4.56011,0
2702.51,3900.39,23.671,0.801,0.531,1.332,"NGC7457","S0",10.6,2.61218,0
2191.22,3909.73,23.725,0.729,0.596,1.325,"NGC7457","S0",10.6,2.0201,0
3426.87,3965.68,21.369,0.778,0.471,1.249,"NGC7457","S0",10.6,4.04426,1
3157.22,4038.97,24.146,0.919,0.477,1.396,"NGC7457","S0",10.6,3.6195,0
359.46,1261.19,24.156,1.087,0.632,1.719,"NGC7457","S0",10.6,5.66459,0
3645.16,2163.73,24.176,0.998,0.516,1.514,"NGC7457","S0",10.6,4.53291,0
334.89,2597.5,24.598,0.834,0.347,1.181,"NGC7457","S0",10.6,3.94173,0
1999.1,2782.76,23.878,0.943,0.447,1.39,"NGC7457","S0",10.6,0.718765,0
1952.65,2905.23,23.454,1.034,0.523,1.557,"NGC7457","S0",10.6,0.420534,0
1820.9,3412.49,23.738,1.035,0.526,1.561,"NGC7457","S0",10.6,0.821531,0
2455.87,3450.3,24.933,0.939,0.745,1.684,"NGC7457","S0",10.6,1.47503,0
1414.3,31.58,23.155,0.734,0.506,1.24,"NGC7339","Spiral",10.7,6.02138,1
3188.03,93.23,23.231,0.928,0.653,1.581,"NGC7339","Spiral",10.7,7.73238,1
2519.97,109.23,22.951,0.911,0.597,1.508,"NGC7339","Spiral",10.7,6.76649,1
3225.07,222.4,20.287,0.613,0.391,1.004,"NGC7339","Spiral",10.7,7.56747,1
3003.1,360.66,23.842,0.709,0.409,1.118,"NGC7339","Spiral",10.7,6.976,0
3169.73,437.05,24.155,0.79,0.455,1.245,"NGC7339","Spiral",10.7,7.11733,0
3273.91,465.26,24.205,0.625,0.472,1.097,"NGC7339","Spiral",10.7,7.24838,0
