bx,by,V,BV,VR,BR,galaxy_name,host_galaxy_group_type,host_galaxy_mass,galcen_radius
"3,417.89","1,107.57",22.593,0.77,0.469,1.239,NGC 7332,S0,11.1,4.17635
"2,353.23","1,125.03",21.974,0.693,0.501,1.194,NGC 7332,S0,11.1,4.58604
"2,382.45","1,215.66",22.621,0.584,0.446,1.03,NGC 7332,S0,11.1,4.36539
18.57,"1,622.07",22.746,0.804,0.522,1.326,NGC 7332,S0,11.1,8.0704
"1,280.6","1,680.52",20.816,0.735,0.465,1.2,NGC 7332,S0,11.1,5.34847
"1,546.68","1,697.57",22.053,0.727,0.531,1.258,NGC 7332,S0,11.1,4.80501
89.57,"1,848.65",21.459,0.561,0.44,1.001,NGC 7332,S0,11.1,7.73348
"3,237.29","2,409.45",23.094,0.952,0.585,1.537,NGC 7332,S0,11.1,1.10067
"2,716.09","2,416.52",23.058,0.628,0.46,1.088,NGC 7332,S0,11.1,1.60375
204.44,"2,418.82",22.406,0.844,0.55,1.394,NGC 7332,S0,11.1,7.15857
"3,931.06","2,517.49",21.955,0.793,0.457,1.25,NGC 7332,S0,11.1,1.87142
"3,492.48","2,646.88",23.007,0.9,0.584,1.484,NGC 7332,S0,11.1,0.839477
"2,903.99","2,669.65",23.097,0.628,0.55,1.178,NGC 7332,S0,11.1,0.888732
"3,000.88","2,714.86",21.515,0.827,0.509,1.336,NGC 7332,S0,11.1,0.641668
3303,"2,746.59",22.372,0.75,0.467,1.217,NGC 7332,S0,11.1,0.366234
"3,094.16","2,788.43",21.828,0.765,0.36,1.125,NGC 7332,S0,11.1,0.363123
"3,818.33","2,864.73",21.831,0.894,0.548,1.442,NGC 7332,S0,11.1,1.40505
"3,643.13","2,870.6",22.548,0.795,0.584,1.379,NGC 7332,S0,11.1,0.99369
"2,944.63","2,887.74",23.14,0.821,0.548,1.369,NGC 7332,S0,11.1,0.646078
"2,716.17","2,946.74",22.479,0.701,0.457,1.158,NGC 7332,S0,11.1,1.1925
"3,629.9","2,950.75",22.152,0.697,0.449,1.146,NGC 7332,S0,11.1,0.977166
"3,395.8","2,990.99",20.87,0.708,0.459,1.167,NGC 7332,S0,11.1,0.489666
"3,652.15","3,005.05",22.414,0.766,0.436,1.202,NGC 7332,S0,11.1,1.05701
