name,group_type,type,S_N,S_N_err,ra,dec,distance,distance_err,dmod,dmod_err,M_V,M_V_err,T,T_err,N_GC,N_GC_err,environment,density,F_blue,T_blue,Extent,Extent_err,id,Source,mass,mass_err,oursurvey,M_BH,name2,sig_e,sig_e_err,R_e,R_e_err,Mdyn,Mdyn_err,m_K,m_K_err,M_K,M_K_err
NGC4638,S0,S0,0.64,0.1,NA,NA,NA,NA,31.2,0.1,-19.93,0.2,2.4,0.6,60,9,Virgo,NA,0.81,1.9,NA,NA,NA,Pe08,10.4,0.086800642917817,Other studies,NA,,121.9,4,1.71,0.05,10.37,0.04,8.21,0.02,-22.96,0.14
NGC3115,S0,S0,0.78,0.24,151.3082417,-7.7185806,10,0.5,30.0,0.1,-21.13,0.2,1.21,0.36,122,30,Field,0.08,0.59,0.73,NA,NA,39,Fa11,11.26,0.08,Other studies,8.95904,NGC3115,230,11,1.51,0.06,10.87,0.06,5.88,0.02,-24.12,0.11
NGC4458,E,E0-1,1.93,0.32,NA,NA,NA,NA,31.2,0.1,-18.93,0.2,8.3,2.5,72,12,Virgo,NA,0.3,2.5,NA,NA,NA,Pe08,9.94,0.1,Other studies,NA,,102.7,2.9,1.44,0.05,10.15,0.04,9.32,0.02,-21.86,0.14
NGC4434,E,E,2.08,0.5,NA,NA,NA,NA,32.1,0.2,-19.58,0.2,6.6,2.1,141,34,Virgo,NA,0.89,5.9,NA,NA,NA,Pe08,10.33,0.08,Other studies,NA,,120.2,2.9,1.42,0.05,10.28,0.04,9.21,0.03,-22.93,0.17
NGC4483,S0,SB0,2.1,0.53,NA,NA,16.8,1.6,31.1,0.2,-18.84,0.2,6.9,2.3,72,18,Virgo,NA,0.94,6.5,NA,NA,NA,Pe08,10.02,0.09,Other studies,NA,,100.0,9.6,1.42,0.13,10.12,0.12,9.29,0.03,-21.84,0.21
NGC4550,S0,SB0,1.52,0.34,NA,NA,NA,NA,30.6,0.1,-19.36,0.2,4.9,1.4,84,19,Virgo,NA,0.73,3.6,NA,NA,NA,Pe08,10.24,0.07,Other studies,NA,,96.4,4.2,1.42,0.05,10.09,0.05,8.69,0.02,-21.95,0.12
NGC4489,E,E,0.94,0.27,NA,NA,NA,NA,30.6,0.1,-18.8,0.2,4.4,1.7,31,9,Virgo,NA,0.73,3.2,NA,NA,NA,Pe08,9.84,0.1,Other studies,NA,,53.1,2,1.3,0.04,9.53,0.05,9.37,0.03,-21.19,0.12
NGC4551,E,E?,1.11,0.26,NA,NA,NA,NA,31.2,0.2,-19.07,0.2,4,1.3,47,11,Virgo,NA,0.59,2.4,NA,NA,NA,Pe08,10.06,0.08,Other studies,NA,,106.8,2.2,1.24,0.04,10.12,0.03,8.87,0.02,-22.32,0.17
NGC4417,S0,SB0,0.87,0.12,NA,NA,NA,NA,30.9,0.1,-19.8,0.2,2.5,0.5,72,10,Virgo,NA,0.64,1.6,NA,NA,NA,Pe08,10.46,0.07,Other studies,NA,,135.2,2.7,1.22,0.04,10.31,0.03,8.17,0.03,-22.70,0.12
NGC4379,S0,S0pec,0.95,0.27,NA,NA,NA,NA,30.9,0.1,-19.31,0.2,3,1,50,14,Virgo,NA,0.56,1.7,NA,NA,NA,Pe08,10.23,0.07,Other studies,NA,,115.9,4.8,1.18,0.04,10.17,0.05,8.77,0.02,-22.10,0.12
NGC4478,E,E2,0.72,0.15,NA,NA,NA,NA,31.3,0.3,-19.78,0.2,2.7,0.7,58,11,Virgo,NA,0.7,1.9,NA,NA,NA,Pe08,10.34,0.07,Other studies,NA,,137.4,2.4,1.08,0.04,10.28,0.03,8.36,0.01,-22.94,0.28
NGC4660,E,E?,2.97,0.41,NA,NA,NA,NA,31.1,0.1,-19.6,0.2,8.6,1.9,205,28,Virgo,NA,0.87,7.5,NA,NA,NA,Pe08,10.38,0.0691346757787894,Other studies,NA,,188.5,3.4,1.07,0.03,10.55,0.03,8.21,0.02,-22.90,0.12
NGC4515,S0,S0,3.05,0.4,NA,NA,NA,NA,31.0,0.1,-18.56,0.2,10.5,2.5,81,10,Virgo,NA,0.96,10.1,NA,NA,NA,Pe08,9.89,0.0770222071075874,Other studies,NA,,86,2.9,0.84,0.03,9.76,0.04,9.89,0.02,-21.12,0.12
NGC4262,S0,SB0pec,1.7,0.53,NA,NA,NA,NA,31.1,0.1,-19.42,0.2,6.3,2.4,100,31,Virgo,NA,0.77,4.9,NA,NA,NA,Pe08,10.2,0.09,Other studies,NA,,189.7,14.3,0.82,0.02,10.44,0.07,8.36,0.02,-22.74,0.12
NGC4528,S0,S0,0.8,0.18,NA,NA,NA,NA,30.9,0.1,-18.99,0.2,3.1,1,31,7,Virgo,NA,0.88,2.7,NA,NA,NA,Pe08,10.01,0.09,Other studies,NA,,116.8,7.1,0.79,0.03,10.00,0.07,8.97,0.02,-21.94,0.12
NGC4318,E,E,0.77,0.26,NA,NA,NA,NA,31.7,0.1,-18.42,0.21,3.6,1.7,18,6,Virgo,NA,0.79,2.8,NA,NA,NA,Pe08,9.69897000433602,0.13,Other studies,NA,,95,3.9,0.77,0.02,9.81,0.05,10.35,0.04,-21.35,0.13
Galaxy,Spiral,Sbc,0.5,0.1,NA,NA,0.0083,NA,14.6,,-21.3,0.3,1.1,0.1,160,20,Field,NA,0.7,0.8,NA,NA,22,AZ98,11.2,0.1,Other studies,6.63347,Galaxy,105,20,0.7,0.1,9.85,0.21,NA,NA,,
NGC4464,Spiral,S?,1.16,0.42,NA,NA,NA,NA,31.0,0.1,-18.35,0.2,3.6,1.5,25,9,Virgo,NA,0.67,2.4,NA,NA,NA,Pe08,9.85,0.08,Other studies,NA,,126.9,3.4,0.53,0.02,9.90,0.04,9.58,0.03,-21.39,0.14
