_RAJ2000	_DEJ2000	r_Name	Name	Vmag	B-V	B-R	Rad	HRV	e_HRV
189.98221	-11.65898	RZ 	3064	20.30	 0.91	 1.47	 2.34	  972.0	102.0
189.98100	-11.55672	RZ 	3075	19.81	 0.72	 1.19	 4.10	 1117.6	  8.6
189.98067	-11.57575	RZ 	3081	21.17	 0.68	 1.12	 3.01	 1090.0	 18.0
189.97946	-11.65795	RZ 	3093	20.28	 0.70	 1.18	 2.35	  991.9	 26.6
189.97875	-11.58141	RZ 	3098	20.08	 0.95	 1.57	 2.73	 1254.1	 23.0
189.97821	-11.67666	RZ 	3101	20.97	 0.95	 1.54	 3.41	  932.0	 25.0
189.97762	-11.66040	RZ 	3105	21.88	 0.67	 1.12	 2.53	 1034.7	 89.5
189.97750	-11.58875	RZ 	3110	21.39	 0.95	 1.55	 2.37	  939.0	  8.0
189.97408	-11.82692	RZ 	3140	20.11	 0.57	 0.91	12.31	  351.0	 46.0
189.97292	-11.66777	RZ 	3155	20.53	 0.69	 1.16	 3.05	 1196.0	 34.2
189.97225	-11.66450	RZ 	3160	20.94	 0.69	 1.18	 2.90	 1411.3	  7.8
189.97150	-11.85116	RZ 	3166	20.66	 0.88	 1.40	13.77	  985.0	 14.9
189.97029	-11.65304	RZ 	3173	21.00	 0.66	 1.14	 2.41	 1300.0	 40.0
189.97042	-11.51650	RZ 	3174	21.44	 0.85	 1.42	 6.59	 1087.0	 34.0
189.96821	-11.59457	RZ 	3191	20.41	 0.88	 1.44	 2.43	 1093.9	 13.8
189.96775	-11.55421	RZ 	3193	22.80	 0.96	 1.58	 4.49	 1070.0	 44.0
189.96767	-11.59746	RZ 	3194	21.99	 0.78	 1.32	 2.34	  973.7	 18.2
189.96733	-11.63377	RZ 	3201	20.29	 0.89	 1.43	 1.89	 1209.0	  8.0
189.96671	-11.38259	RZ 	3215	19.45	 0.76	 1.28	14.54	  331.0	 23.0
189.96633	-11.64009	RZ 	3218	22.84	 0.80	 1.24	 2.10	 1318.0	 38.0
189.96633	-11.53956	RZ 	3221	21.30	 0.80	 1.29	 5.34	 1034.0	 21.0
189.96621	-11.60754	RZ 	3222	19.89	 0.76	 1.28	 2.07	 1431.6	  7.7
189.96592	-11.84393	RZ 	3223	20.05	 0.64	 1.04	13.38	   33.0	 29.0
189.96583	-11.65687	RZ 	3226	20.96	 0.84	 1.37	 2.76	 1149.0	  8.0
189.96537	-11.58900	RZ 	3233	20.68	 0.78	 1.30	 2.79	 1114.6	 28.2
189.96508	-11.60213	RZ 	3236	22.45	 0.62	 1.10	 2.29	  759.0	 10.0
189.96467	-11.63781	RZ 	3243	21.33	 1.00	 1.62	 2.13	  939.0	 21.0
189.96467	-11.60801	RZ 	3244	20.78	 0.91	 1.47	 2.14	 1260.6	  7.8
189.96437	-11.78151	RZ 	3245	20.11	 0.66	 1.01	 9.71	  119.6	 43.5
189.96421	-11.73510	RZ 	3246	20.60	 0.62	 1.06	 7.00	 1095.2	 49.5
189.96404	-11.61192	RZ 	3252	21.46	 0.78	 1.27	 2.08	 1011.9	 20.8
189.96354	-11.63822	RZ 	3261	22.55	 0.71	 1.16	 2.20	  791.0	 21.0
189.96354	-11.44281	RZ 	3264	20.08	 0.64	 1.04	11.00	  203.0	 28.0
189.96317	-11.64266	RZ 	3265	19.70	 0.96	 1.56	 2.34	  830.1	  7.5
189.96246	-11.63980	RZ 	3274	20.69	 0.72	 1.22	 2.30	 1140.5	 10.9
189.96200	-11.72120	RZ 	3279	21.37	 0.85	 1.42	 6.25	 1197.9	 13.1
189.96229	-11.43077	RZ 	3280	21.66	 0.77	 1.28	11.72	 1796.7	 14.1
189.96196	-11.60198	RZ 	3283	21.46	 0.67	 1.15	 2.45	 1105.0	  8.0
189.96179	-11.64844	RZ 	3284	21.11	 0.81	 1.29	 2.60	 1025.0	203.0
190.31371	-11.50872	RZ 	  33	21.04	 0.54	 0.98	19.81	  259.8	  9.1
189.95887	-11.63451	RZ 	3319	22.48	 0.76	 1.15	 2.38	 1056.0	 32.0
189.95887	-11.64136	RZ 	3320	19.54	 0.91	 1.46	 2.53	 1313.7	  8.0
189.95800	-11.78259	RZ 	3329	19.52	 0.65	 1.03	 9.85	  156.0	 24.0
189.95675	-11.65293	RZ 	3342	21.59	 0.75	 1.24	 3.00	 1137.4	 21.5
189.95562	-11.63256	RZ 	3354	22.22	 0.75	 1.24	 2.53	 1275.0	 15.0
189.95562	-11.64620	RZ 	3355	21.96	 0.78	 1.19	 2.83	  840.0	 24.0
189.95558	-11.57631	RZ 	3357	20.73	 0.66	 1.12	 3.74	  857.0	 42.0
189.95521	-11.80342	RZ 	3359	21.56	 1.06	 1.59	11.10	  204.4	  6.8
189.95508	-11.53580	RZ 	3363	22.39	 0.93	 1.53	 5.80	 1168.0	 40.0
189.95317	-11.50842	RZ 	3374	21.50	 0.51	 0.99	 7.36	 1619.0	  8.2
189.95142	-11.67676	RZ 	3385	21.30	 0.70	 1.19	 4.21	 1112.3	 17.5
189.95129	-11.74286	RZ 	3387	19.79	 0.73	 1.18	 7.69	  122.0	 55.0
189.95037	-11.70234	RZ 	3394	19.96	 0.72	 1.19	 5.51	 1330.8	 31.4
