"V","BR","90percent","galcen_radius","galcen_ratio"
23.302,1.147,0,14.6122,1.09866
22.347,1.105,1,9.33337,0.701757
22.168,1.272,1,2.51215,0.188884
22.577,1.454,1,5.86157,0.44072
22.312,1.202,0,16.5921,1.24753
23.031,1.167,0,2.7211,0.204594
23.144,1.214,0,16.3357,1.22825
22.097,1.214,1,3.80447,0.28605
23.111,1.296,0,3.7623,0.28288
23.191,1.257,0,9.88531,0.743256
22.38,1.316,1,2.74798,0.206615
23.232,1.101,0,10.8112,0.812871
22.599,1.567,1,3.0466,0.229067
23.428,1.087,0,9.74257,0.732524
20.907,1.367,0,14.3053,1.07559
21.747,1.357,1,2.77486,0.208636
22.922,1.39,1,2.61911,0.196925
23.427,1.4,0,2.13599,0.160601
23.048,1.482,0,7.22975,0.54359
21.947,1.385,1,2.20014,0.165424
22.055,1.163,1,5.43386,0.408561
22.98,1.111,0,4.39671,0.330579
23.356,1.573,0,6.9796,0.524782
23.272,1.33,0,3.29139,0.247473
22.537,1.328,1,9.97662,0.750122
22.287,1.302,1,12.1396,0.912754
22.078,1.321,1,2.30067,0.172983
22.956,1.703,1,2.09615,0.157605
23.166,0.954,0,2.42858,0.1826
22.76,1.344,1,5.0806,0.382
21.844,1.145,0,15.014,1.12887
23.018,1.237,0,6.22219,0.467834
22.607,0.923,0,14.8214,1.11439
22.841,1.134,0,2.97705,0.223839
21.099,1.487,1,2.82835,0.212658
21.76,1.46,1,7.45333,0.560401
22.312,1.021,1,3.88012,0.291739
22.856,1.563,1,6.61365,0.497267
22.612,1.481,1,2.425,0.182331
23.191,1.326,0,1.86041,0.13988
22.171,1.594,1,5.29618,0.398209
21.464,1.573,1,2.84915,0.214222
21.926,0.98,1,10.007,0.752404
22.9,1.378,1,2.16208,0.162563
21.91,1.347,1,2.87145,0.215899
22.389,1.195,1,5.42851,0.408159
21.375,1.073,1,2.95263,0.222002
21.907,1.447,1,1.96376,0.147651
20.991,1.321,1,2.07842,0.156272
23.37,1.038,0,5.11329,0.384458
23.206,1.752,0,1.85094,0.139168
22.859,1.274,1,1.7903,0.134609
23.007,1.093,0,7.39844,0.556274
23.401,0.984,0,13.6814,1.02867
23.448,1.087,0,3.8483,0.289346
23.465,1.216,0,13.6289,1.02473
22.745,1.477,0,15.2398,1.14585
23.055,1.074,0,14.2335,1.07019
21.803,1.547,1,6.33833,0.476566
22.881,1.27,1,2.10152,0.158009
23.28,1.474,0,2.09308,0.157374
23.14,1.212,0,4.29235,0.322733
22.494,1.313,1,12.0233,0.904006
23.398,1.203,0,1.55002,0.116543
22.973,1.37,0,10.2983,0.774312
22.411,1.266,1,5.52277,0.415246
23.264,0.826,0,6.5963,0.495963
21.998,1.263,1,7.47056,0.561697
21.747,1.589,0,15.6307,1.17524
23.151,0.9,0,4.2302,0.31806
23.419,1.261,0,7.67013,0.576701
22.693,1.236,1,1.58907,0.119479
22.911,1.59,1,1.91388,0.143901
22.285,1.275,1,3.31196,0.24902
22.348,1.523,1,7.90766,0.594561
22.524,1.49,1,1.7501,0.131586
23.162,1.545,0,1.43819,0.108135
23.328,1.783,0,10.124,0.7612
21.183,1.057,1,9.25265,0.695688
22.721,1.324,1,1.47186,0.110666
23.26,0.964,0,7.15725,0.538139
23.016,1.273,0,6.92146,0.520411
21.849,1.09,1,5.7942,0.435654
22.595,1.246,1,1.39442,0.104844
22.535,1.152,1,7.69195,0.578342
22.813,1.459,1,1.32965,0.0999736
23.142,1.309,0,1.82102,0.136919
22.489,1.295,1,1.60766,0.120877
22.94,1.029,0,15.8512,1.19182
22.761,1.055,1,1.73472,0.13043
23.162,1.323,0,3.24957,0.244329
22.769,1.153,0,1.12403,0.0845134
21.623,1.095,1,1.50811,0.113392
22.35,1.41,1,1.27104,0.0955668
23.09,1.44,0,1.21079,0.0910369
23,1.509,0,4.91854,0.369815
22.995,1.544,0,1.06876,0.0803577
23.334,1.116,0,16.9586,1.27508
22.226,1.352,1,1.32048,0.0992844
22.68,1.02,1,12.3512,0.928663
22.692,0.938,1,7.6095,0.572143
22.789,1.223,1,1.43518,0.107908
23.122,1.323,0,7.64355,0.574703
23.159,1.111,0,2.8488,0.214196
21.837,1.375,1,2.72011,0.20452
22.721,1.428,1,8.54086,0.64217
22.289,1.353,1,1.90592,0.143302
23.09,1.363,0,5.02956,0.378162
22.411,1.231,1,2.29683,0.172694
23.478,1.256,0,17.8634,1.34311
21.175,1.472,1,2.48222,0.186633
23.446,1.076,0,1.00565,0.0756124
21.728,0.97,1,9.85651,0.741091
23.265,1.158,0,10.8127,0.812984
22.117,1.5,0,15.669,1.17812
22.281,1.233,1,3.80636,0.286192
22.715,1.312,1,0.958818,0.0720916
21.895,1.403,1,8.58347,0.645374
22.751,1.282,1,4.26276,0.320508
23.001,1.228,0,5.40322,0.406257
21.208,1.088,1,1.13725,0.0855076
22.298,1.023,1,1.76683,0.132845
23.215,1.261,0,10.3049,0.774801
22.54,1.122,1,2.58976,0.194719
22.99,1.12,0,2.04623,0.153852
23.331,1.287,0,6.78515,0.510162
22.513,1.06,0,13.4743,1.0131
22.547,1.073,0,13.4146,1.00861
23.346,0.916,0,10.5793,0.795438
23.466,1.157,0,11.5945,0.871768
23.289,1.665,0,9.47876,0.712689
23.474,1.399,0,1.55648,0.117028
23.049,1.091,0,1.38906,0.104441
21.902,1.168,1,1.52531,0.114685
22.373,1.21,1,0.836031,0.0628595
22.231,1.39,1,5.09228,0.382878
22.279,1.067,1,1.12624,0.0846797
22.928,1.044,0,12.3868,0.931338
22.026,1.08,1,0.589291,0.0443076
21.979,1.251,0,16.0243,1.20484
22.125,1.319,1,1.5398,0.115774
23.311,1.214,0,0.688982,0.0518032
23.02,1.289,0,1.57051,0.118083
22.939,1.207,0,0.61681,0.0463767
22.046,0.98,1,2.3344,0.175519
21.55,1.553,1,1.06625,0.0801694
22.302,1.052,1,2.5798,0.19397
21.887,1.072,1,8.81075,0.662463
23.117,0.95,0,0.462054,0.0347409
23.247,1.04,0,1.21601,0.0914294
22.694,1.017,1,4.84492,0.364279
22.179,1.37,1,1.22887,0.092396
23.1,1.343,0,12.2538,0.921339
23.019,1.393,0,0.384971,0.0289452
21.574,1.249,0,18.0931,1.36039
22.468,1.452,1,0.651111,0.0489557
22.718,0.906,1,2.41249,0.18139
22.164,1.058,1,0.888223,0.0667837
21.623,1.48,1,0.53997,0.0405992
23.249,1.592,0,7.92806,0.596094
23.405,1.134,0,7.45617,0.560615
22.362,1.59,1,10.2822,0.773096
21.511,1.375,1,4.18268,0.314487
22.684,1.631,1,0.561245,0.0421989
22.134,1.576,1,0.305007,0.0229328
23.322,1.156,0,2.88032,0.216565
22.994,1.088,0,6.78051,0.509813
23.457,1.402,0,0.490815,0.0369034
22.088,1.47,1,0.942888,0.0708938
21.458,1.322,1,0.58059,0.0436534
23.433,2.109,0,0.431984,0.03248
22.939,1.234,0,3.24133,0.243709
22.56,1.202,1,1.09649,0.082443
23.223,1.571,0,12.4764,0.938078
23.145,1.083,0,8.62134,0.648221
22.781,1.338,1,1.41224,0.106183
23.45,1.512,0,11.7672,0.884755
22.514,1.288,1,3.76026,0.282726
23.389,1.601,0,0.380689,0.0286232
21.634,1.371,0,14.3931,1.08219
22.837,1.5,1,2.14406,0.161207
22.794,1.644,0,19.0551,1.43272
23.034,1.029,0,8.61334,0.647619
22.688,1.533,1,1.08468,0.081555
22.377,1.483,0,14.5586,1.09463
22.076,1.283,0,15.3545,1.15447
22.796,1.451,1,1.00398,0.0754873
23.23,0.808,0,13.8261,1.03955
23.491,1.662,0,14.2522,1.0716
23.423,1.553,0,2.06804,0.155492
21.612,1.279,1,1.97941,0.148828
23.395,1.856,0,0.590229,0.0443781
23.265,1.377,0,6.19256,0.465606
23.39,1.607,0,3.14709,0.236623
22.691,1.588,1,3.85684,0.289988
22.824,1.501,1,1.34213,0.100912
23.192,1.574,0,0.909867,0.068411
22.73,1.634,1,1.46063,0.109822
21.935,1.066,1,4.67784,0.351717
23.13,1.343,0,3.72575,0.280132
22.42,0.953,0,16.6924,1.25507
22.036,1.345,1,1.14072,0.0857686
21.323,1.388,1,3.81386,0.286756
23.359,1.885,0,0.705356,0.0530343
23.048,1.441,0,0.571638,0.0429803
22.027,1.291,1,0.725066,0.0545162
21.138,1.352,1,1.00668,0.0756901
23.067,0.985,0,3.64162,0.273806
22.683,1.501,1,1.58869,0.11945
23.236,1.007,0,6.54537,0.492133
22.736,1.03,1,7.37813,0.554747
23.106,1.395,0,3.9156,0.294406
22.824,1.143,1,3.17281,0.238557
22.607,1.532,1,1.01267,0.0761408
22.666,1.17,1,5.56048,0.418081
22.937,1.175,0,8.61827,0.64799
22.814,1,0,11.0768,0.832843
22.58,1.489,1,0.80994,0.0608978
23.274,1.217,0,9.05222,0.680618
22.648,0.961,1,3.53892,0.266084
22.394,1.074,1,3.22045,0.242139
23.172,1.388,0,1.1015,0.0828194
23.308,0.871,0,5.1564,0.387699
23.369,1.609,0,0.698244,0.0524995
23.068,1.281,0,1.91853,0.14425
23.11,1.384,0,3.1735,0.238609
22.845,1.212,1,1.21812,0.0915879
23.423,1.099,0,1.87092,0.140671
22.585,0.941,1,1.17996,0.0887187
22.828,1.273,0,15.4734,1.16341
23.254,1.207,0,0.674013,0.0506776
