Galaxy,type,Type,M_V,M_V_err,M_K,M_K_err,mass,mass_err,dmod,dmod_err,density,R_e,R_e_err,sig_e,sig_e_err,lg_M_B,lg_M_B_err_low,lg_M_B_err_high,N_GC,N_GC_err,S_N,S_N_err,T,T_err,F_blue,T_blue,Extent,Extent_err,Source
NGC 4262,SB0pec,S0,-20.4,0.2,-22.7,0.1,10.98,0.09,31.1,0.1,3.00,0.82,0.02,190,14,9999.00,9999.00,9999.00,100,31,0.7,0.53,1.1,0.8,0.77,4.9,NA,NA,Pe08
NGC 4483,SB0,S0,-19.0,0.2,-21.8,0.2,10.40,0.09,31.1,0.2,3.83,1.42,0.13,100,10,9999.00,9999.00,9999.00,72,18,1.9,0.53,2.9,0.8,0.94,6.5,NA,NA,Pe08
NGC 4435,SB0,S0,-20.2,0.2,-23.8,0.1,10.91,0.23,31.1,0.1,3.99,2.94,0.09,157,6,9999.00,9999.00,9999.00,345,80,2.77,0.53,4.3,0.8,0.75,19.4,NA,NA,Pe08
NGC 4434,E,E,-20.0,0.2,-22.9,0.2,10.93,0.08,32.1,0.2,9999.00,1.42,0.05,120,3,9999.00,9999.00,9999.00,141,34,1.41,0.5,1.6,0.6,0.89,5.9,NA,NA,Pe08
NGC 4474,S0pec,S0,-19.4,0.2,-22.0,0.1,10.59,0.08,30.7,0.1,3.80,2.09,0.08,88,4,9999.00,9999.00,9999.00,116,24,1.94,0.42,3.0,0.6,0.65,4.9,NA,NA,Pe08
NGC 4464,S?,Spiral,-18.5,0.2,-21.4,0.1,9.93,0.08,31.0,0.1,3.31,0.53,0.02,127,3,9999.00,9999.00,9999.00,25,9,1.00,0.42,2.9,1.2,0.67,2.4,NA,NA,Pe08
NGC 4660,E?,E,-19.4,0.2,-22.9,0.1,10.68,0.07,31.1,0.1,3.37,1.07,0.03,189,3,9999.00,9999.00,9999.00,205,28,3.63,0.41,4.2,0.5,0.87,7.5,NA,NA,Pe08
NGC 4515,S0,S0,-18.6,0.2,-21.1,0.1,10.25,0.08,31.0,0.1,9999.00,0.84,0.03,86,3,9999.00,9999.00,9999.00,81,10,2.94,0.4,4.5,0.6,0.96,10.1,NA,NA,Pe08
NGC 4623,SB0,S0,-18.9,0.2,-21.7,0.1,10.37,0.10,31.2,0.1,2.36,2.16,0.07,86,15,9999.00,9999.00,9999.00,71,14,1.96,0.4,3.0,0.6,0.82,5.4,NA,NA,Pe08
NGC 4352,SA0,S0,-18.7,0.2,-21.5,0.2,10.27,0.10,31.3,0.1,9999.00,2.00,0.01,70,6,9999.00,9999.00,9999.00,114,12,3.95,0.38,6.08,0.6,0.82,9.8,NA,NA,Pe08
NGC 4612,SAB0,S0,-19.7,0.2,-22.5,0.1,10.69,0.09,31.1,0.1,2.66,2.30,0.07,63,3,9999.00,9999.00,9999.00,83,25,1.09,0.34,1.68,0.5,0.69,3.5,NA,NA,Pe08
